# Created by: RiboViz
# Date: 2021-09-15 09:31:19
# File: /home/ubuntu/riboviz/rscripts/generate_stats_figs.R
# Version: commit 96118273d79107338bdd63982ed59d03e8489176 date 2021-09-15 16:26:53 GMT
ORF	tpm	Feature	Value
YAL003W	100458.602437955	Length_log10	2.31386722036915
YAL012W	38804.0844320958	Length_log10	2.59549622182557
YAL016W	18747.6988315067	Length_log10	2.80277372529198
YAL023C	6239.38599320066	Length_log10	2.88024177589548
YAL035W	11703.6790625716	Length_log10	3.00086772153123
YAL036C	12701.9125378161	Length_log10	2.56702636615906
YAL038W	367716.961704853	Length_log10	2.69897000433602
YAL042W	9160.71598845392	Length_log10	2.61804809671209
YAL044C	78729.1757477854	Length_log10	2.23044892137827
YAL003W	100458.602437955	uATGs	0
YAL012W	38804.0844320958	uATGs	0
YAL016W	18747.6988315067	uATGs	0
YAL023C	6239.38599320066	uATGs	0
YAL035W	11703.6790625716	uATGs	0
YAL036C	12701.9125378161	uATGs	NA
YAL038W	367716.961704853	uATGs	0
YAL042W	9160.71598845392	uATGs	0
YAL044C	78729.1757477854	uATGs	0
YAL003W	100458.602437955	FE_atg	0
YAL012W	38804.0844320958	FE_atg	0
YAL016W	18747.6988315067	FE_atg	-1.2
YAL023C	6239.38599320066	FE_atg	-0.9
YAL035W	11703.6790625716	FE_atg	-0.7
YAL036C	12701.9125378161	FE_atg	-2.6
YAL038W	367716.961704853	FE_atg	0
YAL042W	9160.71598845392	FE_atg	0
YAL044C	78729.1757477854	FE_atg	0
YAL003W	100458.602437955	FE_cap	-1.5
YAL012W	38804.0844320958	FE_cap	-1.5
YAL016W	18747.6988315067	FE_cap	-6.9
YAL023C	6239.38599320066	FE_cap	-5.9
YAL035W	11703.6790625716	FE_cap	-4
YAL036C	12701.9125378161	FE_cap	NA
YAL038W	367716.961704853	FE_cap	-4
YAL042W	9160.71598845392	FE_cap	-11.7
YAL044C	78729.1757477854	FE_cap	-7.3
YAL003W	100458.602437955	utr	22
YAL012W	38804.0844320958	utr	65
YAL016W	18747.6988315067	utr	88
YAL023C	6239.38599320066	utr	89
YAL035W	11703.6790625716	utr	27
YAL036C	12701.9125378161	utr	NA
YAL038W	367716.961704853	utr	28
YAL042W	9160.71598845392	utr	17
YAL044C	78729.1757477854	utr	10
YAL003W	100458.602437955	utr_gc	0.363636363636364
YAL012W	38804.0844320958	utr_gc	0.4
YAL016W	18747.6988315067	utr_gc	0.375
YAL023C	6239.38599320066	utr_gc	0.370786516853933
YAL035W	11703.6790625716	utr_gc	0.37037037037037
YAL036C	12701.9125378161	utr_gc	NA
YAL038W	367716.961704853	utr_gc	0.392857142857143
YAL042W	9160.71598845392	utr_gc	0.294117647058824
YAL044C	78729.1757477854	utr_gc	0.5
YAL003W	100458.602437955	polyA	23.7
YAL012W	38804.0844320958	polyA	28.7
YAL016W	18747.6988315067	polyA	24.3
YAL023C	6239.38599320066	polyA	23.9
YAL035W	11703.6790625716	polyA	21.4
YAL036C	12701.9125378161	polyA	20.5
YAL038W	367716.961704853	polyA	19
YAL042W	9160.71598845392	polyA	26.9
YAL044C	78729.1757477854	polyA	25.3
