# Created by: RiboViz
# Date: 2021-09-15 09:31:13
# File: /home/ubuntu/riboviz/rscripts/generate_stats_figs.R
# Version: commit 96118273d79107338bdd63982ed59d03e8489176 date 2021-09-15 16:26:53 GMT
ORF	tpm	Feature	Value
YAL003W	199013.784878156	Length_log10	2.31386722036915
YAL012W	37111.2550452822	Length_log10	2.59549622182557
YAL016W	6004.70213658648	Length_log10	2.80277372529198
YAL021C	2734.21532857165	Length_log10	2.92272545799326
YAL023C	6239.59079705346	Length_log10	2.88024177589548
YAL035W	8963.17067399498	Length_log10	3.00086772153123
YAL036C	6853.15801703624	Length_log10	2.56702636615906
YAL038W	422464.777777091	Length_log10	2.69897000433602
YAL003W	199013.784878156	uATGs	0
YAL012W	37111.2550452822	uATGs	0
YAL016W	6004.70213658648	uATGs	0
YAL021C	2734.21532857165	uATGs	NA
YAL023C	6239.59079705346	uATGs	0
YAL035W	8963.17067399498	uATGs	0
YAL036C	6853.15801703624	uATGs	NA
YAL038W	422464.777777091	uATGs	0
YAL003W	199013.784878156	FE_atg	0
YAL012W	37111.2550452822	FE_atg	0
YAL016W	6004.70213658648	FE_atg	-1.2
YAL021C	2734.21532857165	FE_atg	-0.1
YAL023C	6239.59079705346	FE_atg	-0.9
YAL035W	8963.17067399498	FE_atg	-0.7
YAL036C	6853.15801703624	FE_atg	-2.6
YAL038W	422464.777777091	FE_atg	0
YAL003W	199013.784878156	FE_cap	-1.5
YAL012W	37111.2550452822	FE_cap	-1.5
YAL016W	6004.70213658648	FE_cap	-6.9
YAL021C	2734.21532857165	FE_cap	NA
YAL023C	6239.59079705346	FE_cap	-5.9
YAL035W	8963.17067399498	FE_cap	-4
YAL036C	6853.15801703624	FE_cap	NA
YAL038W	422464.777777091	FE_cap	-4
YAL003W	199013.784878156	utr	22
YAL012W	37111.2550452822	utr	65
YAL016W	6004.70213658648	utr	88
YAL021C	2734.21532857165	utr	NA
YAL023C	6239.59079705346	utr	89
YAL035W	8963.17067399498	utr	27
YAL036C	6853.15801703624	utr	NA
YAL038W	422464.777777091	utr	28
YAL003W	199013.784878156	utr_gc	0.363636363636364
YAL012W	37111.2550452822	utr_gc	0.4
YAL016W	6004.70213658648	utr_gc	0.375
YAL021C	2734.21532857165	utr_gc	NA
YAL023C	6239.59079705346	utr_gc	0.370786516853933
YAL035W	8963.17067399498	utr_gc	0.37037037037037
YAL036C	6853.15801703624	utr_gc	NA
YAL038W	422464.777777091	utr_gc	0.392857142857143
YAL003W	199013.784878156	polyA	23.7
YAL012W	37111.2550452822	polyA	28.7
YAL016W	6004.70213658648	polyA	24.3
YAL021C	2734.21532857165	polyA	31.1
YAL023C	6239.59079705346	polyA	23.9
YAL035W	8963.17067399498	polyA	21.4
YAL036C	6853.15801703624	polyA	20.5
YAL038W	422464.777777091	polyA	19
